,certainty,name,geometry,geometry_source,locality,date,period,domestic
170,3.0,Freising,POINT (11.746 48.399),POINT (16.388 48.221),Wien,1256-06-23,2,True
171,1.0,Wien,POINT (16.388 48.221),POINT (16.388 48.221),Wien,1256-06-23,2,True
172,1.0,Olomouc,POINT (17.252 49.596),POINT (17.903 49.939),Opava,1256-07-18,2,True
173,1.0,Grobniki,POINT (17.871 50.197),POINT (17.903 49.939),Opava,1256-07-18,2,True
174,2.0,Böhmen,POINT (nan nan),POINT (17.903 49.939),Opava,1256-07-18,2,True
175,2.0,Mähren,POINT (nan nan),POINT (17.903 49.939),Opava,1256-07-18,2,True
176,1.0,Grobniki,POINT (17.871 50.197),POINT (17.903 49.939),Opava,1256-07-18,2,True
177,1.0,Ernstbrunn,POINT (16.36 48.526),POINT (16.388 48.221),Wien,1256-07-25,2,True
178,1.0,Wien,POINT (16.388 48.221),POINT (16.388 48.221),Wien,1256-07-25,2,True
179,1.0,Salzburg,POINT (13.048 47.797),POINT (15.62 48.41),Krems an der Donau,1256-11-21,2,True
180,1.0,Ardagger,POINT (14.833 48.183),POINT (16.388 48.221),Wien,1256-12-18,2,True
181,1.0,Ardagger,POINT (14.833 48.183),POINT (16.388 48.221),Wien,1256-12-18,2,True
182,1.0,Melk,POINT (15.33 48.228),POINT (16.388 48.221),Wien,1256-12-18,2,True
183,1.0,Heiligenkreuz,POINT (16.131 48.056),POINT (16.388 48.221),Wien,1256-12-18,2,True
184,3.0,Hainburg,POINT (16.946 48.146),POINT (16.388 48.221),Wien,1256-12-18,2,True
185,1.0,Praha,POINT (14.41 50.09),POINT (14.41 50.09),Praha,1257-03-15,2,True
186,1.0,Praha,POINT (14.41 50.09),POINT (14.41 50.09),Praha,1257-03-15,2,True
187,1.0,Praha,POINT (14.41 50.09),POINT (14.41 50.09),Praha,1257-03-15,2,True
188,1.0,Plchov,POINT (13.987 50.255),POINT (14.41 50.09),Praha,1257-03-15,2,True
